============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 3000000.E-05 keV
0000108   4.1055E+02  1.7390E+02 -9.0137E+01
0000109   4.1041E+02 -2.1173E+02 -3.1223E+02
0000110   4.3267E+02  1.1882E+02 -4.3164E+02
0000111   5.8954E+02  1.8059E+01 -1.5636E+02
0000112   3.6153E+02  5.1592E+01  4.6142E+01
0000113   3.2884E+02 -5.0987E+01  1.4434E+02
0000114   4.6953E+02  4.5041E+00 -9.5132E+01
0000115   4.1869E+02 -1.8074E+02  1.4473E+02
0000116   5.2378E+02 -6.2544E+01 -1.6076E+02
0000117   6.2467E+02  8.6721E+01  2.4454E+02
0000118   5.8904E+02 -8.3985E+00  1.5738E+02
0000119   6.2137E+02  1.2702E+00 -1.0468E+02
0000120   3.3296E+02  1.0166E+01  1.6071E+01
0000121   4.1670E+02 -1.0471E+00 -3.8968E+01
0000122   2.5511E+02 -2.6097E+01 -2.9185E+01
0000123   7.0061E+02 -1.5738E+01  1.6943E+02
0000124   4.1865E+02  5.6330E+01  7.3263E+01
0000125   4.7750E+02 -4.3962E+01  1.0292E+02
0000126   3.7678E+02  1.9006E+02 -5.2624E+01
0000127   5.1130E+02 -1.0849E+01 -7.8980E+01
0000128   5.5205E+02  1.5974E+02  2.3042E+02
0000129   2.9960E+02 -1.9330E+01  2.4318E+01
0000130   5.2751E+02  1.3494E+02  2.0657E+02
0000131   1.3229E+02 -1.2006E+01 -4.8901E+01
0000132   4.9556E+02 -1.0482E+02 -4.1563E+01
0000133   3.2356E+02 -7.2552E+01 -9.5841E+01
0000134   5.0946E+02  1.6338E+02 -9.1316E+01
0000135   2.8548E+02 -3.0953E+02  1.3883E+02
0000136   4.7894E+02 -1.7040E+02  1.4705E+02
0000137   4.9427E+02 -6.9458E+01 -1.7170E+02
0000138   3.0687E+02 -1.8745E+02  1.5199E+02
0000139   2.3320E+02 -1.2350E+00  4.4204E+01
0000140   6.4793E+02 -1.1032E+02  3.2005E+01
0000141   5.2939E+02  1.3314E+02  1.7137E+02
0000142   6.2683E+02  1.4224E+02 -3.0409E+01
0000143   4.2807E+02  6.6847E+00 -1.5182E+02
0000144   4.7109E+02  2.2130E+01  2.3749E+02
0000145   6.0896E+02  8.7763E+01 -1.8581E+02
0000146   5.3037E+02  8.1815E+01 -2.4487E+01
0000147   2.5205E+02 -7.5487E-02 -2.4693E+02
0000148   4.2468E+02  3.1703E+01  1.1972E+02
0000149   5.2832E+02  1.3178E+01  3.3815E+01
0000150   6.5754E+02 -8.2239E+01  9.6658E+01
0000151   5.9717E+02 -1.3171E+02  9.5972E+01
0000152   5.2369E+02  2.0660E+01  3.4215E+01
0000153   4.8731E+02 -7.4757E+01  2.5758E+02
0000154   5.4187E+02 -1.3821E+02 -1.1972E+02
0000155   4.4277E+02  3.1804E+01  2.0845E+02
0000156   4.3657E+02  2.8740E+01 -1.8793E+02
0000157   4.9774E+02 -7.9475E+01  7.5368E+01
0000158   4.6277E+02  8.0903E+01 -4.0097E+01
0000159   5.2072E+02  1.0741E+02 -4.4342E+01
0000160   5.8775E+02  2.6569E+00 -1.2721E+02
0000161   4.1828E+02 -6.1726E+01  1.7786E+02
0000162   5.1031E+02 -2.4082E+02  6.3502E+01
0000163   5.5460E+02 -5.5543E+00  1.4904E+02
0000164   6.2885E+02  9.4629E+01 -6.6270E+01
0000165   5.2058E+02 -1.2203E+02  1.5050E+02
0000166   4.6370E+02  5.3883E+01 -7.8549E+01
0000167   5.4616E+02  1.0757E+02  1.1690E+02
0000168   3.3887E+02  5.2004E+01  2.9531E+02
0000169   4.8388E+02 -3.9784E+01 -6.4324E+01
0000170   4.6131E+02 -1.3194E+02  6.3898E+01
0000171   4.6224E+02 -9.7844E+01 -6.0803E+01
0000172   4.6235E+02 -9.5422E+01 -2.7363E+02
0000173   6.4926E+02 -7.0382E+01 -9.8068E+01
0000174   3.4067E+02  4.1458E+01 -1.3442E+02
0000175   5.4995E+02 -1.9736E+02 -1.1273E+01
0000176   3.7361E+02 -1.3253E+02 -7.5081E+00
0000177   5.9408E+02  2.0197E+02  1.5549E+01
0000178   2.9618E+02 -8.4828E+01  2.0734E+02
0000179   4.3438E+02  1.8531E+02  8.9993E+00
0000180   6.1126E+02 -5.3482E+00  1.1451E+02
0000181   6.2496E+01 -2.6594E+00  4.5737E+00
0000182   2.0162E+02  2.3786E+01 -6.0467E+01
0000183   4.6852E+02  7.1752E+01 -1.7382E+01
0000184   6.3590E+02  5.9808E+01 -9.7263E+00
0000185   7.0397E+02  2.7311E+01 -3.5293E+01
0000186   6.2807E+02 -1.6603E+02  6.5003E+01
0000187   5.7437E+02  1.0254E+02  2.1167E+02
0000188   2.6162E+02 -2.9911E+01  1.5310E+02
0000189   5.5297E+02  5.2488E+01  4.6809E+01
0000190   6.2329E+02  8.5243E+00 -3.1735E+01
0000191   5.1814E+02 -1.8203E+02 -4.3353E+01
0000192   5.8471E+02  1.2479E+01  2.1151E+01
0000193   4.1931E+02 -3.1640E+01  4.7747E+01
0000194   6.4248E+02  1.1487E+02  1.6458E+02
0000195   5.2809E+02  8.8625E+01  8.8576E+01
0000196   5.0195E+02  1.1010E+00 -9.6162E+00
0000197   4.3169E+02  1.4173E+02 -1.2877E+01
0000198   5.6567E+02 -6.3666E+01 -6.6798E+01
0000199   3.4598E+02 -9.2447E+00  1.4902E+02
0000200   5.6417E+02  1.1187E+02 -1.8371E+02
